,TEAM_ID,TEAM_NAME,MIN,FGA,FG_PCT,FG3A,FTA,FT_PCT,OREB,DREB,AST,TOV,STL,BLK,BLKA,PF,PFD,PTS,PLUS_MINUS,3P%,2P%,3P_ratio,2P_ratio,WinRate
0,1610612737,Atlanta Hawks,3233.0,5348,0.454,1330,1385,0.74,652,2066,1481,921.0,536,303,313,1178,1263,6375,227.0,0.3699248120300752,0.48208063713290195,0.2486910994764398,0.7513089005235603,0.6060606060606061
1,1610612738,Boston Celtics,3188.0,5086,0.46,988,1308,0.778,509,2051,1557,979.0,498,362,304,1315,1217,6062,166.0,0.3674089068825911,0.4826744753538311,0.1942587495084546,0.8057412504915454,0.5909090909090909
2,1610612766,Charlotte Bobcats,3178.0,5293,0.414,892,1462,0.746,677,1894,1326,957.0,397,361,378,1249,1341,5739,-918.0,0.2948430493273543,0.43853669620540786,0.16852446627621387,0.8314755337237861,0.10606060606060606
3,1610612741,Chicago Bulls,3188.0,5462,0.452,1117,1394,0.722,915,2165,1527,923.0,456,388,343,1139,1166,6359,540.0,0.37511190689346463,0.4713463751438435,0.20450384474551447,0.7954961552544856,0.7575757575757576
4,1610612739,Cleveland Cavaliers,3193.0,5360,0.422,1273,1645,0.716,841,1949,1308,1017.0,466,262,409,1317,1381,6140,-475.0,0.34564021995286726,0.44555908979691705,0.2375,0.7625,0.3181818181818182
5,1610612742,Dallas Mavericks,3213.0,5412,0.443,1464,1334,0.771,665,2157,1380,926.0,565,337,265,1226,1213,6322,63.0,0.3394808743169399,0.4815096251266464,0.270509977827051,0.729490022172949,0.5454545454545454
6,1610612743,Denver Nuggets,3208.0,5404,0.476,1311,1760,0.735,738,2105,1581,1015.0,540,330,439,1297,1452,6872,190.0,0.3318077803203661,0.5221109210847789,0.24259807549962992,0.7574019245003701,0.5757575757575758
7,1610612765,Detroit Pistons,3193.0,5232,0.438,916,1461,0.752,775,1882,1232,1033.0,460,278,348,1293,1283,5997,-316.0,0.3460698689956332,0.45736793327154773,0.17507645259938837,0.8249235474006116,0.3787878787878788
8,1610612744,Golden State Warriors,3183.0,5443,0.457,1351,1235,0.77,640,1947,1470,915.0,528,362,328,1410,1095,6453,-225.0,0.38786084381939306,0.4802052785923754,0.24820870843284953,0.7517912915671505,0.3484848484848485
9,1610612745,Houston Rockets,3213.0,5543,0.449,1330,1301,0.782,769,2014,1404,955.0,496,319,340,1347,1215,6474,15.0,0.3593984962406015,0.4773320674103964,0.23994226952913586,0.7600577304708641,0.5151515151515151
10,1610612754,Indiana Pacers,3198.0,5375,0.438,1064,1724,0.782,826,2070,1228,925.0,523,357,398,1430,1428,6449,218.0,0.3684210526315789,0.4551148225469729,0.19795348837209303,0.802046511627907,0.6363636363636364
11,1610612746,Los Angeles Clippers,3193.0,5366,0.455,1441,1538,0.68,800,1943,1385,879.0,556,315,296,1399,1401,6438,169.0,0.3566967383761277,0.49044585987261147,0.2685426761088334,0.7314573238911666,0.6060606060606061
12,1610612747,Los Angeles Lakers,3213.0,5319,0.457,1112,1589,0.756,799,2251,1485,997.0,390,351,302,1109,1332,6422,94.0,0.3255395683453237,0.49132398383646303,0.2090618537319045,0.7909381462680956,0.6212121212121212
13,1610612763,Memphis Grizzlies,3188.0,5422,0.447,849,1504,0.759,831,1944,1290,955.0,631,345,363,1316,1275,6269,133.0,0.32626619552414604,0.4697135359720096,0.1565842862412394,0.8434157137587606,0.6212121212121212
14,1610612748,Miami Heat,3208.0,5212,0.469,1030,1598,0.775,686,2060,1317,1002.0,585,355,280,1282,1356,6500,395.0,0.3592233009708738,0.4964131994261119,0.19762087490406754,0.8023791250959325,0.696969696969697
15,1610612749,Milwaukee Bucks,3173.0,5652,0.443,1265,1415,0.774,820,1983,1550,929.0,548,335,297,1273,1278,6535,18.0,0.34466403162055337,0.47093685890129927,0.2238145789101203,0.7761854210898796,0.4696969696969697
16,1610612750,Minnesota Timberwolves,3188.0,5434,0.433,1423,1662,0.771,797,2089,1290,1001.0,436,293,377,1212,1435,6464,-145.0,0.3323963457484188,0.46920967339815506,0.2618697092381303,0.7381302907618698,0.3939393939393939
17,1610612751,New Jersey Nets,3178.0,5320,0.425,1481,1433,0.777,783,1879,1311,995.0,493,260,330,1268,1274,6144,-395.0,0.34233625928426736,0.45715029955717634,0.27838345864661657,0.7216165413533835,0.3333333333333333
18,1610612740,New Orleans Hornets,3188.0,5103,0.451,777,1397,0.757,724,1991,1368,1024.0,488,316,380,1324,1235,5916,-248.0,0.3333333333333333,0.4717984281091077,0.1522633744855967,0.8477366255144033,0.3181818181818182
19,1610612752,New York Knicks,3188.0,5335,0.443,1538,1634,0.741,743,2012,1328,1056.0,622,276,334,1391,1437,6458,211.0,0.3361508452535761,0.4867000263365815,0.2882849109653233,0.7117150890346766,0.5454545454545454
20,1610612760,Oklahoma City Thunder,3198.0,5229,0.471,1317,1744,0.806,726,2157,1224,1079.0,498,539,321,1352,1322,6802,404.0,0.3583902809415338,0.5086912065439673,0.2518646012621916,0.7481353987378083,0.7121212121212122
21,1610612753,Orlando Magic,3193.0,5162,0.441,1785,1508,0.66,742,2060,1321,984.0,451,275,273,1168,1308,6215,52.0,0.3753501400560224,0.4752739117559964,0.34579620302208447,0.6542037969779155,0.5606060606060606
22,1610612755,Philadelphia 76ers,3183.0,5516,0.448,963,1198,0.742,704,2144,1453,738.0,526,340,316,1157,1070,6180,280.0,0.3624091381100727,0.4660663298923787,0.17458303118201596,0.8254169688179841,0.5303030303030303
23,1610612756,Phoenix Suns,3168.0,5445,0.458,1295,1397,0.757,717,2035,1486,928.0,431,366,288,1233,1293,6492,-16.0,0.34285714285714286,0.49421686746987953,0.23783287419651056,0.7621671258034894,0.5
24,1610612757,Portland Trail Blazers,3193.0,5417,0.443,1382,1423,0.796,735,1949,1349,935.0,528,322,314,1251,1306,6415,-41.0,0.3458755426917511,0.4768277571251549,0.25512276167620457,0.7448772383237955,0.42424242424242425
25,1610612758,Sacramento Kings,3183.0,5712,0.436,1301,1532,0.736,882,1947,1271,952.0,561,323,423,1287,1313,6518,-375.0,0.3159108378170638,0.4713216957605985,0.22776610644257703,0.772233893557423,0.3333333333333333
26,1610612759,San Antonio Spurs,3188.0,5463,0.478,1405,1427,0.748,683,2153,1528,895.0,490,293,330,1143,1244,6841,473.0,0.39288256227758006,0.5073928043371119,0.2571846970529013,0.7428153029470986,0.7575757575757576
27,1610612761,Toronto Raptors,3193.0,5154,0.44,1075,1410,0.77,697,2074,1382,1001.0,429,321,322,1532,1214,5986,-218.0,0.3395348837209302,0.4665359156656043,0.20857586340706247,0.7914241365929375,0.3484848484848485
28,1610612762,Utah Jazz,3233.0,5531,0.456,845,1668,0.754,861,2055,1439,936.0,545,385,375,1441,1366,6577,41.0,0.3230769230769231,0.4801536491677337,0.15277526667871993,0.84722473332128,0.5454545454545454
29,1610612764,Washington Wizards,3173.0,5475,0.441,1075,1386,0.727,775,1975,1262,1008.0,527,417,300,1405,1231,6180,-317.0,0.32,0.47045454545454546,0.1963470319634703,0.8036529680365296,0.30303030303030304
